Bang Bang Bowl,,,
20,,,
number,unit,ingredient,notes
6,cup,black rice,uncooked
,,,
6,pound,mushroom,
8,tbsp,liquid amino,
4,tbsp,nutritional yeast,
,,,
3,piece,cucumber,sliced
4,piece,pepper,sliced
,,,
4,block,extra firm tofu,
8,tbsp,sriracha,
8,tbsp,liquid amino,
8,tsp,garlic powder,
,,,
0.5,piece,red cabbage,shredded
2,bunch,radish,sliced
5,piece,mango,sliced
12,piece,carrot,sliced
1,bunch,green onion,sliced
,,sesame seed,roasted
,,,
1.5,tsp,chili powder,
3,tsp,turmeric,
1.5,tsp,salt,
3,tbsp,lime juice,
261,gram,dried coconut flake,
